iter	Passed	Remaining
0	0	66
1	1	61
2	1	60
3	2	58
4	3	58
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	6	54
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	14	44
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	15
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	47	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
